"Accession","logFC","AveExpr","t","P.Value","adj.P.Val","B","PrimaryAccession","SYMBOL","ENTREZID"
"Q5TZA2;Q96RG2;P0C5J1;Q8N7N1",-0.646833524579777,-2.10989618104385,-2.9789604587486,0.00372344181461802,0.20121304782701,-2.03891479992876,"Q5TZA2","CROCC","9696"
"A0A096LPE2;P35542;Q09328",-0.328617112984111,1.53767798127247,-2.95947650434879,0.00394435862695351,0.20121304782701,-2.07988727297919,"A0A096LPE2","SAA2-SAA4","100528017"
"P02760",0.165484478646842,4.68423576992823,2.92185597334,0.00440552032445122,0.20121304782701,-2.15840384476702,"P02760","AMBP","259"
"P08603",-0.26419025199632,4.29923197703755,-2.90966018372451,0.00456537059785453,0.20121304782701,-2.18368804031211,"P08603","CFH","3075"
"P04217",0.241928616740398,6.5645802509757,2.8566435527673,0.00532424371666992,0.20121304782701,-2.29263042117195,"P04217","A1BG","1"
"O60437",-0.887455209788113,-4.26783704023689,-2.7612336072448,0.00698791725704351,0.20121304782701,-2.48465586673413,"O60437","PPL","5493"
"P00746",-0.60006055410511,-5.69265831917109,-2.71720374532383,0.00790547241778508,0.20121304782701,-2.57149820662232,"P00746","CFD","1675"
"Q9BXR6",-0.400018573259301,-2.76580911148296,-2.71350553496922,0.00798733068635923,0.20121304782701,-2.57874081572808,"Q9BXR6","CFHR5","81494"
"P02749",0.185530723819308,5.96792309097635,2.68948145734112,0.00853815205057648,0.20121304782701,-2.62559418220794,"P02749","APOH","350"
"P05546",-0.290259801115059,3.62666642799914,-2.66598472682745,0.00911006677758919,0.20121304782701,-2.67108986898451,"P05546","SERPIND1","3053"
"P0C0L4",-0.413570920471014,2.23306153491821,-2.6363458626791,0.00988099788436208,0.20121304782701,-2.72801128209328,"P0C0L4","C4A","720"
"Q16610",0.35672323271456,0.34742835573603,2.56431158134395,0.0120067591188334,0.224126170218224,-2.86416110467637,"Q16610","ECM1","1893"
"Q92698",-0.61930400175341,-3.79691649144674,-2.53093837519142,0.0131247832614189,0.22530582724079,-2.92617563706442,"Q92698","RAD54L","8438"
"P20851",-0.222155593958883,0.470039543842669,-2.50434905915555,0.0140816142025494,0.22530582724079,-2.97509785916137,"P20851","C4BPB","725"
"Q96PD5",0.178998042403073,3.77736562766,2.45636388761743,0.0159679391329356,0.238454557718505,-3.06228679783045,"Q96PD5","PGLYRP2","114770"
"P27918",-0.381086886939909,0.634378912302918,-2.40195731278969,0.0183773422520195,0.253285423331083,-3.15941583140387,"P27918","CFP","5199"
"Q96PZ0",-0.656067954097401,-3.85220548843764,-2.36117228793421,0.0203904536389681,0.253285423331083,-3.23101141667835,"Q96PZ0","PUS7","54517"
"Q13474",-0.385927575339168,-0.593773732818508,-2.34676521108931,0.0211469913692837,0.253285423331083,-3.25605135646922,"Q13474","DRP2","1821"
"P00748",0.199656524372835,0.960493982539209,2.3276000266006,0.0221918742593948,0.253285423331083,-3.28915711230437,"P00748","F12","2161"
"Q12929",-0.280936464292248,1.07216988242527,-2.31095328181885,0.0231362351223602,0.253285423331083,-3.31772298526728,"Q12929","EPS8","2059"
"P06396",-0.192983005982347,4.01166406951882,-2.29468145665903,0.0240934433255872,0.253285423331083,-3.34547460960617,"P06396","GSN","2934"
"Q08380",0.339504832655909,0.328444320249177,2.23885856860479,0.0276477361155217,0.253285423331083,-3.43938945759045,"Q08380","LGALS3BP","3959"
"P08697",-0.200505667604497,3.49074118430905,-2.23757186270125,0.027734818896293,0.253285423331083,-3.44153049110716,"P08697","SERPINF2","5345"
"P68032;P62736;P68133;P63267",-0.330845274639399,-0.184548576957849,-2.23012232845688,0.0282437369240931,0.253285423331083,-3.45390519472437,"P68032","ACTC1","70"
"Q96G01",-0.276163375516111,-1.76567635973546,-2.22976340204366,0.0282684624253441,0.253285423331083,-3.45450051353845,"Q96G01","BICD1","636"
"Q9UK55",-0.281298655725429,1.00996992571671,-2.20356822173591,0.030124943152694,0.256309146973114,-3.49772240223897,"Q9UK55","SERPINA10","51156"
"Q8N4C6",0.43994066953456,-1.01638993061463,2.15322832052127,0.0339933676160253,0.256309146973114,-3.57952700678577,"Q8N4C6","NIN","51199"
"P32856",-0.303798245044863,-0.659958374227258,-2.14428578976533,0.034723981414463,0.256309146973114,-3.59388531693543,"P32856","STX2","2054"
"P02746",-0.163185162902292,2.10173028177876,-2.14171236479925,0.0349367437320764,0.256309146973114,-3.59800751445776,"P02746","C1QB","713"
"P04278",0.373353071308922,-0.0584704405645452,2.13643165209646,0.035376882176092,0.256309146973114,-3.60645268177709,"P04278","SHBG","6462"
"Q5JYT7;Q96HE7",-0.333126892674587,-1.67598682333916,-2.12987137530783,0.0359303647793555,0.256309146973114,-3.61691859520767,"Q5JYT7","KIAA1755","85449"
"Q96ET8;Q9NYZ1",-0.153017466515344,-1.18851296355824,-2.11649829916502,0.0370819253108077,0.256309146973114,-3.6381653244649,"Q96ET8","TVP23C","201158"
"O00219",-0.4798064199693,-2.15137738587402,-2.10879305800884,0.0377598296880034,0.256309146973114,-3.65035349573784,"O00219","HAS3","3038"
"P08779;P02533",-1.37142631841013,-6.40384354670523,-2.04747441204793,0.0435468595078392,0.274688338147802,-3.74594199395088,"P08779","KRT16","3868"
"P68871;P69891;P69892",0.43924468982687,-0.852454099067377,2.04612383559623,0.0436824596921805,0.274688338147802,-3.74801916216026,"P68871","HBB","3043"
"Q8IZU8",-0.664408704215202,-2.34148440840383,-2.04153065184025,0.0441463400594682,0.274688338147802,-3.75507427896789,"Q8IZU8","DSEL","92126"
"P04196",-0.206430430390067,4.31089347289546,-2.02420544514628,0.0459343089325575,0.278088789213321,-3.7815584839405,"P04196","HRG","3273"
"P01031",-0.160947523803475,4.24390272123138,-2.00567084655434,0.0479154002098279,0.278226309106037,-3.80966818222072,"P01031","C5","727"
"Q8IY22;P01210;P53677",-0.265535062978312,-0.332179713873355,-1.97679532267855,0.0511471097261437,0.278226309106037,-3.85299952314033,"Q8IY22","CMIP","80790"
"P01024;P05198;P0C7N8;P53794;Q2KHR3;Q3SXM5;Q5T200;Q8N3E9;Q8NBP0;Q8TE49;Q9BW04;Q9H974",-0.156115643959417,8.20405114736272,-1.97430191156567,0.0514346769483948,0.278226309106037,-3.85671476083679,"P01024","C3","718"
"P48736",0.409486815317756,2.25910587340288,1.95772752362911,0.0533813994200747,0.278226309106037,-3.88130386141817,"P48736","PIK3CG","5294"
"P13645;Q7Z3Y7;Q7Z3Y8;Q7Z3Y9;Q7Z3Z0",-0.81909037204349,-2.6070779200096,-1.93582596092456,0.0560494923868496,0.278226309106037,-3.91350993193705,"P13645","KRT10","3858"
"P00742",-0.13227581914053,1.89108684299608,-1.93523245780124,0.0561233382063494,0.278226309106037,-3.91437812939458,"P00742","F10","2159"
"P02776;P10720",-0.388520626146899,-2.16447864814626,-1.92857552749721,0.0569572764903245,0.278226309106037,-3.92409967048771,"P02776","PF4","5196"
"Q92954",-0.195238378960163,-1.26359538325565,-1.92818811068558,0.0570061307352447,0.278226309106037,-3.92466450934704,"Q92954","PRG4","10216"
"Q9P2D0",0.152453967884912,0.993827492653405,1.91660661845557,0.0584830380281164,0.278226309106037,-3.94150256233452,"Q9P2D0","IBTK","25998"
"Q96IY4",-0.16141071892976,-0.222882931611707,-1.9078585912525,0.0596199233798651,0.278226309106037,-3.95416033361812,"Q96IY4","CPB2","1361"
"O95996",-0.320598266594928,-0.289663652958361,-1.8903004292011,0.0619580810378051,0.283236941887109,-3.97940758455906,"O95996","APC2","10297"
"Q92777",-0.340123271268435,-1.68334569703598,-1.8768528434239,0.0638006087139778,0.28582672703862,-3.99860108503344,"Q92777","SYN2","6854"
