"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006956","complement activation","9/47","65/18805",0.138461538461538,55.3993453355156,21.9910690784878,4.86282166517709e-14,4.82391909185567e-11,3.67526942694437e-11,"CFH/CFD/CFHR5/C4A/C4BPB/CFP/C1QB/C5/C3",9
"GO:0007596","blood coagulation","12/47","241/18805",0.0497925311203319,19.9223095259115,14.7988397747205,5.24551588184826e-13,1.82659993055646e-10,1.3916582662771e-10,"APOH/SERPIND1/C4BPB/F12/SERPINF2/SERPINA10/HBB/HRG/PIK3CG/F10/PF4/CPB2",12
"GO:0050817","coagulation","12/47","246/18805",0.0487804878048781,19.5173845355475,14.6335837501354,6.69161919442709e-13,1.82659993055646e-10,1.3916582662771e-10,"APOH/SERPIND1/C4BPB/F12/SERPINF2/SERPINA10/HBB/HRG/PIK3CG/F10/PF4/CPB2",12
"GO:0007599","hemostasis","12/47","248/18805",0.0483870967741935,19.359986273164,14.5688440058042,7.36532230063087e-13,1.82659993055646e-10,1.3916582662771e-10,"APOH/SERPIND1/C4BPB/F12/SERPINF2/SERPINA10/HBB/HRG/PIK3CG/F10/PF4/CPB2",12
"GO:0006957","complement activation, alternative pathway","6/47","18/18805",0.333333333333333,133.368794326241,28.1237955728209,3.17588414783646e-12,6.30095414930753e-10,4.80059961715068e-10,"CFH/CFD/CFHR5/CFP/C5/C3",6
"GO:0042060","wound healing","13/47","450/18805",0.0288888888888889,11.5586288416076,11.3479488792538,4.76723226417767e-11,7.88182401010709e-09,6.00503993978872e-09,"PPL/APOH/SERPIND1/C4BPB/F12/SERPINF2/SERPINA10/HBB/HRG/PIK3CG/F10/PF4/CPB2",13
"GO:0050878","regulation of body fluid levels","12/47","388/18805",0.0309278350515464,12.3744242158368,11.3322624675263,1.36986404606492e-10,1.94129304813772e-08,1.47904118056333e-08,"APOH/SERPIND1/C4BPB/F12/SERPINF2/SERPINA10/HBB/HRG/PIK3CG/F10/PF4/CPB2",12
"GO:0006959","humoral immune response","11/47","309/18805",0.0355987055016181,14.2432692969772,11.7494172296867,2.03192077858788e-10,2.51958176544897e-08,1.91963041977118e-08,"CFH/CFD/CFHR5/C4A/C4BPB/CFP/C1QB/HRG/C5/C3/PF4",11
"GO:0051917","regulation of fibrinolysis","5/47","18/18805",0.277777777777778,111.140661938534,23.4010854021992,6.54957193452381e-10,7.21908373227514e-08,5.50010836138959e-08,"APOH/F12/SERPINF2/HRG/CPB2",5
"GO:0030195","negative regulation of blood coagulation","6/47","50/18805",0.12,48.0127659574468,16.6618436818636,2.56051179588881e-09,2.5400277015217e-07,1.93520786257702e-07,"APOH/F12/SERPINF2/HRG/PF4/CPB2",6
"GO:1900047","negative regulation of hemostasis","6/47","51/18805",0.117647058823529,47.0713391739675,16.4911048498964,2.89648683473484e-09,2.61210449096088e-07,1.99012205487045e-07,"APOH/F12/SERPINF2/HRG/PF4/CPB2",6
